taxi_type,pickup_hour,avg_distance
green,0,54.364233477857709
green,1,48.059195962673805
green,2,56.665165202606971
green,3,65.155493786788767
green,4,302.70119565954548
green,5,379.8867856417549
green,6,236.58421701966392
green,7,187.85829888133489
green,8,143.63343283582103
green,9,123.30206789681343
green,10,134.0894437022358
green,11,109.51375117190697
green,12,95.598919010462424
green,13,102.95729410031768
green,14,95.76234904831631
green,15,77.42711692265118
green,16,76.642656667623839
green,17,55.108127018711734
green,18,49.47488725149131
green,19,50.813890618426569
green,20,50.990554497393845
green,21,48.153845864275709
green,22,58.595667886864348
green,23,55.719848515795213
yellow,0,5.0365912371499437
yellow,1,4.76102628770244
yellow,2,5.4971237889904954
yellow,3,7.5415121700747241
yellow,4,20.862454221396625
yellow,5,32.808422420128757
yellow,6,17.545204958525268
yellow,7,11.671292212492283
yellow,8,8.7602843866346269
yellow,9,6.1396672101856327
yellow,10,5.0308010322637706
yellow,11,5.22958403601233
yellow,12,4.7478328886432468
yellow,13,5.1542247883840835
yellow,14,4.92139589846522
yellow,15,5.3340957633206108
yellow,16,4.8703483505678626
yellow,17,4.720718425797874
yellow,18,4.1471396873298039
yellow,19,4.3108443932083524
yellow,20,4.2877118288626583
yellow,21,4.730703796137762
yellow,22,4.7761449128309383
yellow,23,4.9932906593468438